Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
DE,"Chase Young

C. Young",99,82,#23 DE,"6'5""",264,21,4/14/99,0,2020,1,2,Ohio State
DE,"Montez Sweat

M. Sweat",90,74,#53 DE,"6'6""",260,24,9/4/96,2,2019,1,26,Mississippi State
DE,"James Smith-Williams

J. Smith-Williams",96,67,#98 DE,"6'3""",265,23,7/30/97,0,2020,7,229,North Carolina State
LB,"Ryan Kerrigan

R. Kerrigan",91,85,#13 LB,"6'4""",267,32,8/16/88,10,2011,1,16,Purdue
LB,"Thomas Davis

T. Davis",58,78,#40 LB,"6'1""",240,37,3/22/83,16,2005,1,14,Georgia
LB,"Ryan Anderson

R. Anderson",52,70,#102 LB,"6'2""",258,26,8/12/94,4,2017,2,49,Alabama
LB,"Kevin Pierre-Louis

K. Pierre-Louis",54,70,#102 LB,"6'0""",232,29,10/7/91,7,2014,4,132,Boston College
LB,"Jon Bostic

J. Bostic",53,69,#113 LB,"6'1""",246,29,5/5/91,8,2013,2,50,Florida
LB,"Shaun Dion Hamilton

S. D. Hamilton",51,69,#113 LB,"6'0""",228,25,9/11/95,3,2018,6,197,Alabama
LB,"Cole Holcomb

C. Holcomb",55,68,#124 LB,"6'1""",233,24,7/30/96,2,2019,5,173,North Carolina
LB,"Jordan Kunaszyk

J. Kunaszyk",40,67,#167 LB,"6'3""",234,24,10/15/96,2,2019,,,California
LB,"Khaleke Hudson

K. Hudson",47,67,#130 LB,"5'11""",224,23,12/6/97,0,2020,5,162,Michigan
LB,"Jared Norris

J. Norris",50,67,#130 LB,"6'1""",241,27,7/19/93,4,2016,,,Utah
LB,"Casey Toohill

C. Toohill",95,67,#130 LB,"6'4""",250,24,8/21/96,0,2020,7,233,Stanford
CB,"Kendall Fuller

K. Fuller",29,89,#4 CB,"5'11""",187,25,2/13/95,4,2016,3,84,Virginia Tech
CB,"Ronald Darby

R. Darby",23,81,#31 CB,"5'11""",194,26,1/2/94,5,2015,2,50,Florida State
CB,"Fabian Moreau

F. Moreau",25,73,#80 CB,"6'0""",205,26,4/9/94,4,2017,3,81,UCLA
CB,"Jimmy Moreland

J. Moreland",20,72,#90 CB,"5'10""",179,25,8/26/95,2,2019,7,227,James Madison
CB,"Cole Luke

C. Luke",46,67,#184 CB,"5'11""",196,25,6/30/95,3,2017,,,Notre Dame
CB,"Deshazor Everett

D. Everett",22,67,#128 CB,"5'10""",185,28,2/22/92,6,2015,,,Texas A&M
CB,"Danny Johnson

D. Johnson",32,67,#128 CB,"5'9""",181,25,11/17/95,3,2018,,,Southern
SS,"Troy Apke

T. Apke",30,70,#31 SS,"6'1""",200,25,4/11/95,3,2018,4,109,Penn State
SS,"Kamren Curl

K. Curl",31,67,#41 SS,"6'1""",206,21,3/31/99,0,2020,7,216,Arkansas
FS,"Jeremy Reaves

J. Reaves",39,67,#55 FS,"5'11""",204,24,8/29/96,2,2018,,,South Alabama
LS,"Nick Sundberg

N. Sundberg",57,,,"6'0""",245,33,7/29/87,11,2009,,,California
P,"Tress Way

T. Way",5,80,#9 P,"6'1""",215,30,4/18/90,7,2013,,,Oklahoma
PK,"Dustin Hopkins

D. Hopkins",3,71,#23 PK,"6'2""",193,30,10/1/90,7,2013,6,177,Florida State
